Language	Stars	GitHub Link
sacara	123	https://github.com/enkomio/sacara
sidef	123	https://github.com/trizen/sidef
myst	122	https://github.com/myst-lang/myst
Grapycal	122	https://github.com/Grapycal/Grapycal
lumina	122	https://github.com/luminalang/lumina
scout-lang	122	https://github.com/maxmindlin/scout-lang
minitt-rs	122	https://github.com/owo-lang/minitt-rs
esjs	121	https://github.com/es-js/esjs
redtamarin	119	https://github.com/Corsaair/redtamarin
magelang	119	https://github.com/jauhararifin/magelang
awesome-brainfuck	118	https://github.com/cagataycali/awesome-brainfuck
lambdapi	118	https://github.com/ilya-klyuchnikov/lambdapi
mimir	117	https://github.com/mimir/mimir
typoscript	117	https://github.com/kurehajime/typoscript
MATL	117	https://github.com/lmendo/MATL
Ncodi	117	https://github.com/azizamari/Ncodi
citrine	117	https://github.com/gabordemooij/citrine
euphoria	117	https://github.com/OpenEuphoria/euphoria
PPOCoder	116	https://github.com/reddy-lab-code-research/PPOCoder
labrys	116	https://github.com/kit-ty-kate/labrys
write-you-a-programming-language	116	https://github.com/stereobooster/write-you-a-programming-language
locic	116	https://github.com/scrossuk/locic
lox	115	https://github.com/Darksecond/lox
JPL	115	https://github.com/W1LDN16H7/JPL
Codesh-Compiler	114	https://github.com/Codesh-Organization-Foundation-Inc/Codesh-Compiler
lumina-lang	112	https://github.com/nyigoro/lumina-lang
Chata	112	https://github.com/Slackadays/Chata
neo-c	111	https://github.com/ab25cq/neo-c
tmbasic	110	https://github.com/tmbasic/tmbasic
karuta	110	https://github.com/nlsynth/karuta
Cyrus	109	https://github.com/cyrus-lang/Cyrus
cane	109	https://github.com/tarpit-collective/cane
helloworlds	107	https://github.com/forkingachild/helloworlds
elle	107	https://github.com/acquitelol/elle
colorForth	107	https://github.com/narke/colorForth
SignedLua	107	https://github.com/markusmoenig/SignedLua
